shelter_id,title,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
2139,Frauenhaus und Beratungsstelle,Frauenhaus,False,False,False,False
2049,Autonomes Frauenhaus Elmshorn,Frauenhaus,False,False,False,False
2088,Frauenhaus Emden,Frauenhaus,False,False,False,False
2261,Frauenhaus Erbach,Frauenhaus,True,False,False,False
2362,Frauenhaus Erding,Frauenhaus,False,True,False,False
2076,Frauenhaus Rhein - Erftkreis e.V.,Frauenhaus,False,False,False,False
2149,Frauenhaus Erfurt,Frauenhaus,False,False,False,False
2265,Autonomes Frauenhaus Erlangen,Frauenhaus,True,False,False,False
2184,Frauenhaus Espelkamp,Frauenhaus,True,False,False,False
2143,Frauenhaus Essen,Frauenhaus,True,True,False,False
2065,Frauenhaus Esslingen,Frauenhaus,False,False,False,False
2107,Schutzhaus für Frauen und Kinder,Frauenhaus,False,False,False,False
2080,Frauen - und Kinderschutzhaus Filder,Frauenhaus,False,False,False,False
2109,Frauenhaus,Frauenhaus,False,False,False,False
2255,Frauenhaus Flensburg,Frauenhaus,False,False,False,False
2123,Frauenhaus Frankenthal,Frauenhaus,True,False,False,False
2248,Frauenhaus Frankfurt (Oder),Frauenhaus,False,False,False,False
2091,Autonomes Frauenhaus Frankfurt,Frauenhaus,False,False,False,False
2083,Frauenschutzhaus Freiberg,Frauenhaus,False,False,False,False
2092,Frauen- und Kinderschutzhaus Freiburg,Frauenhaus,False,False,False,False
2422,Frauenhaus Freising,Frauenhaus,False,False,False,False
2215,Frauenhaus Freudenstadt,Frauenhaus,False,False,False,False
2059,Frauenhaus Wetterau,Frauenhaus,False,True,False,False
2333,AWO Frauen- und Kinderschutzhaus Bodenseekreis,Frauenhaus,True,False,False,False
2294,Frauenhaus Fulda,Frauenhaus,False,False,False,False
2388,Frauenhaus Fürstenwalde,Frauenhaus,False,False,False,False
2301,Frauenhaus Fürth,Frauenhaus,False,False,False,False
2112,Frauenhaus Gelsenkirchen,Frauenhaus,False,False,False,False
2421,Frauenhaus Gera,Frauenhaus,False,False,False,False
2116,Frauenhaus FFB,Frauenhaus,True,False,False,False
2181,Autonomes Frauenhaus Gießen,Frauenhaus,False,False,False,False
2247,Frauenhaus Sozialdienst katholischer Frauen e.V.,Frauenhaus,False,False,False,False
2285,Frauenhaus des Caritasverbandes für Stadt und Landkreis Gifhorn,Frauenhaus,False,False,False,False
2097,Frauen- und Kinderhilfe Göppingen,Frauenhaus,False,False,False,False
2457,Goslarer Frauenhaus e.V.,Frauenhaus,False,False,False,False
2026,Frauenhaus Gotha,Frauenhaus,False,False,False,False
2040,Frauenhaus Göttingen e.V.,Frauenhaus,False,False,False,False
2146,Frauenhaus Greifswald,Frauenhaus,False,False,False,False
2407,Frauenhaus,Frauenhaus,False,False,False,False
2219,Frauenschutzhaus,Frauenhaus,False,False,False,False
2267,Frauenhaus Gütersloh,Frauenhaus,False,False,False,False
2416,Frauenhaus Westerwald,Frauenhaus,False,False,False,False
2310,Frauenschutzhaus,Frauenhaus,False,False,False,False
2366,Frauenhaus Diakonisches Werk Hamburg,Frauenhaus,False,False,False,False
2367,2. Hamburger Frauenhaus e.V.,Frauenhaus,True,False,False,False
2381,6. Autonomes Frauenhaus Hamburg,Frauenhaus,False,False,False,False
2382,1. &amp 3. Hamburger Frauenhaus,Frauenhaus,True,False,False,False
2039,24/7 Notaufnahme der Hamburger Frauenhäuser,,True,False,False,False
2113,Frauenhaus Hameln e.V.,Frauenhaus,True,False,False,False
2171,Frauenhaus Hamm,Frauenhaus,False,False,False,False
2055,Frauenhaus Hanau,Frauenhaus,False,False,False,False
2085,Frauen- und Kinderschutzhaus Hannover,Frauenhaus,False,False,False,False
2011,Sofortaufnahme für gewaltbetroffene Frauen und ihre Kinder - Frauenhaus24 Hannover,,True,False,False,False
2013,Frauenhaus Hannover - Frauen helfen Frauen e.V.,Frauenhaus,True,False,False,False
2297,AWO Frauenhaus,Frauenhaus,True,False,False,False
2395,Frauenhaus Dithmarschen,Frauenhaus,False,False,False,False
2152,Frauen helfen Frauen e.V. Heidelberg,Frauenhaus,False,False,False,False
2481,Frauen- und Kinderschutzhaus Heidenheim,Frauenhaus,False,True,False,False
2239,Frauen- und Kinderschutzhaus Heidenheim,Frauenhaus,False,False,False,False
2126,Frauen- und Kinderschutzhaus Heilbronn,Frauenhaus,False,False,False,False
2259,Autonomes Frauenhaus Heilbronn,Frauenhaus,False,False,False,False
2290,Frauenschutzhaus Helmstedt,Frauenhaus,True,False,False,False
2033,Frauenhaus Herford,Frauenhaus,False,False,False,False
2032,Frauenhaus Herne,Frauenhaus,True,False,False,False
2157,Frauenhaus Herten,Frauenhaus,False,False,False,False
2194,Frauenhaus Hildesheim e.V.,Frauenhaus,True,False,False,False
2514,Frauenhaus Nordschwaben,Frauenhaus,False,False,False,False
2135,Frauennotruf Hochfranken,Schutzwohnung,False,False,False,False
2104,AWO Frauenhaus Schwalm-Eder,Frauenhaus,False,False,False,False
2183,Frauenhaus Idar-Oberstein,Frauenhaus,False,False,False,False
2260,Caritas Frauenhaus Ingolstadt,Frauenhaus,True,False,False,False
2232,AWO Frauenhaus Iserlohn,Frauenhaus,False,False,False,False
2193,Autonomes Frauenhaus Itzehoe,Frauenhaus,True,True,True,False
2272,Jenaer Frauenhaus e.V.,Frauenhaus,False,False,False,False
2236,Frauenzuflucht Kaiserslautern,Frauenhaus,False,False,False,False
2341,Frauenhaus Karlsruhe,Frauenhaus,False,False,False,False
2212,Frauenhaus SkF Karlsruhe,Frauenhaus,False,False,False,False
2165,Frauenhaus Kassel,Frauenhaus,True,True,False,False
2444,SkF Frauenhaus Kaufbeuren-Ostallgäu,Frauenhaus,False,False,False,False
2024,Autonomes Frauenhaus Kempten (Allgäu),Frauenhaus,False,False,False,False
2106,Frauenhaus Kiel,Frauenhaus,True,False,True,False
2173,Frauenhaus Kirchheim,Frauenhaus,True,False,False,False
2221,Frauenhaus Donnersbergkreis,Frauenhaus,False,False,False,False
2311,AWO-Frauenhaus,Frauenhaus,False,False,False,False
2413,Frauenhaus Koblenz,Frauenhaus,False,False,False,False
2140,1. Frauenhaus Köln,Frauenhaus,True,False,False,False
2253,2. Autonomes Frauenhaus Köln,Frauenhaus,False,False,False,False
2408,Frauen- und Kinderschutzhaus Konstanz,Frauenhaus,False,False,False,False
2161,Frauenhaus Köthen,Frauenhaus,False,False,False,False
2229,Frauen- und Kinderschutzhaus Krefeld,Frauenhaus,False,False,False,False
2332,Frauenhaus Landau,Frauenhaus,False,False,False,False
2187,AWO Frauenhaus Landshut,Frauenhaus,False,False,False,False
2218,Caritas Frauenhaus Landshut,Frauenhaus,False,False,False,False
2346,Frauenhaus Lauchhammer,Frauenhaus,False,False,False,False
2056,Zentrale Sofortaufnahme der Frauen*- und Kinderschutzhäuser Leipzig,,False,False,False,False
2317,4. Frauen*- und Kinderschutzhaus Leipzig,Frauenhaus,False,False,False,False
2376,Frauen- und Kinderschutzhaus Leipzig,Frauenhaus,True,False,False,False
2027,1. Autonomes Frauenhaus,Frauenhaus,False,False,False,False
2029,S.H.E. - Schutzhaus für geflüchtete Frauen,Schutzwohnung,False,False,False,False
2151,Autonomes Frauenhaus Leverkusen,Frauenhaus,False,False,False,False
2036,"Frauenhaus, Beratungs- und Interventionsstelle Limburg",Frauenhaus,False,False,False,False
2075,Autonomes Frauenhaus Lörrach,Frauenhaus,False,False,False,False
2249,Autonomes Frauenhaus Lübeck,Frauenhaus,True,False,False,False
2284,Frauenhaus Hartengrube,Frauenhaus,False,False,False,False
2371,Frauenhaus Lüchow,Frauenhaus,False,False,False,False
2223,Frauenhaus Landkreis Ludwigsburg,Frauenhaus,True,True,True,False
2415,Frauenhaus Ludwigshafen,Frauenhaus,False,False,False,False
2148,AWO Frauenhaus Ludwigslust,Frauenhaus,False,False,False,False
2066,Autonomes Frauenhaus Lüneburg,Frauenhaus,False,False,False,False
2319,Frauenschutzhaus Wittenberg,Frauenhaus,False,False,False,False
2031,Frauenschutzhaus Magdeburg,Frauenhaus,True,False,False,False
2411,Frauenhaus Mainz,Frauenhaus,False,False,False,False
2458,Schutzraum SEGEL Mannheim - für von Substanzabhängigkeit und Gewalt betroffene Frauen* und deren Kinder,Schutzwohnung,False,False,False,True
2459,Mannheimer Frauenhaus,Frauenhaus,True,False,False,False
2008,Frauen- und Kinderschutzhaus Heckertstift,Frauenhaus,False,False,False,False
2025,Autonomes Frauenhaus Marburg,Frauenhaus,False,False,False,False
2426,Frauenhaus Mayen-Koblenz,Frauenhaus,True,False,True,False
2057,Frauenhaus Meiningen,Frauenhaus,False,False,False,False
2069,Autonomes Frauenhaus Memmingen,Frauenhaus,False,False,False,False
2030,Frauen- und Kinderschutzhaus Merseburg,Frauenhaus,False,False,False,False
2111,Frauen- und Kinderschutzhaus für den Kreis Mettmann,Frauenhaus,False,False,False,False
2325,Frauenschutzzentrum,Frauenhaus,False,False,False,False
2330,Frauen- und Kinderschutzhaus Moers,Frauenhaus,False,False,False,False
2048,Autonomes Frauenhaus Rheydt,Frauenhaus,False,False,False,False
2337,Frauenhaus Mönchengladbach,Frauenhaus,False,False,False,False
2234,Frauen- und Kinderschutzhaus Neckar-Odenwald-Kreis,Frauenhaus,False,False,False,False
2348,Frauenhaus der Frauenhilfe München,Frauenhaus,True,True,False,False
2387,Frauenhaus München,Frauenhaus,False,False,False,False
2141,Autonomes Frauenhaus Münster,Frauenhaus,False,False,False,False
2226,Frauen- und Kinderschutzhäuser Münster,Frauenhaus,False,False,False,False
2094,AWO Frauenhaus Neu-Ulm,Frauenhaus,False,False,False,False
2216,Frauen- und Kinderschutzhaus Neubrandenburg,Frauenhaus,False,False,False,False
2063,Autonomes Frauenhaus Neumünster,Frauenhaus,True,False,False,False
2010,Frauenhaus Neunkirchen,Frauenhaus,False,False,False,False
2340,Frauenhaus Neuruppin,Frauenhaus,False,False,True,False
2201,Frauenhaus Neustadt,Frauenhaus,False,False,False,False
2401,Frauenhaus,Frauenhaus,False,False,False,False
2303,Frauenhaus Norderstedt,Frauenhaus,True,False,False,False
2468,Frauenhaus Northeim,Frauenhaus,False,False,False,False
2147,Frauenhaus Nürnberg,Frauenhaus,False,False,False,False
2155,Frauenhaus Hagar,Frauenhaus,False,False,False,False
2134,Frauenhaus Oberhausen,Frauenhaus,False,False,False,False
2214,Frauenhaus Oberursel,Frauenhaus,True,False,False,False
2077,Frauen- und Kinderhaus Offenbach,Frauenhaus,False,False,False,False
2235,Frauenhaus Ortenau,Frauenhaus,True,False,False,False
2136,Autonomes Frauenhaus Oldenburg e.V.,Frauenhaus,True,False,False,False
2047,Frauenhaus Olpe,Frauenhaus,False,False,False,False
2089,Autonomes Frauenhaus Osnabrück,Frauenhaus,False,True,False,False
2522,Frauenhaus Osterode,Frauenhaus,False,False,False,False
2189,Frauenhaus Ostholstein,Frauenhaus,True,False,False,False
2023,Frauenhaus Paderborn,Frauenhaus,False,False,False,False
2125,Frauenhaus Passau,Frauenhaus,True,False,False,False
2204,Ökumenisches Frauenhaus Pforzheim,Frauenhaus,False,False,False,False
2264,Frauenhaus Pinneberg,Frauenhaus,False,False,False,False
2417,Frauenhaus Pirmasens,Frauenhaus,False,False,False,False
