shelter_name,shelter_id,latitude,longitude,timestamp,description,status,gen,bez,bundesland,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
Frauenhaus Duisburg gGmbH,2203,51.434999,6.759562,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Duisburg,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,True,False,False
Autonomes Frauenhaus Elmshorn,2049,53.7542251,9.6592636,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Pinneberg,Kreis,Schleswig-Holstein,Frauenhaus,False,False,False,False
Frauenhaus Erding,2362,48.304271224419,11.90594429271,2022-12-25 08:01:00,Aufnahme möglich für Frauen mit 2 Kindern,Aufnahme möglich für Frauen mit mehreren Kindern,Erding,Landkreis,Bayern,Frauenhaus,False,True,False,False
Frauenhaus Espelkamp,2184,52.375750324544,8.632890486707,2022-12-25 08:01:00,Aufnahme möglich ohne detaillierte Angabe,Aufnahme möglich ohne detaillierte Angabe,Minden-Lübbecke,Kreis,Nordrhein-Westfalen,Frauenhaus,True,False,False,False
Frauenhaus Essen,2143,51.438379602305,7.009099068551,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Essen,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,True,True,False,False
Frauenhaus Esslingen,2065,48.741421196937,9.310220283594,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Esslingen,Landkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Schutzhaus für Frauen und Kinder,2107,50.616462856427,6.84026134715,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Euskirchen,Kreis,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
Frauenhaus,2109,51.628227951142,13.713308618555,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Elbe-Elster,Landkreis,Brandenburg,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Frankfurt,2091,50.1109221,8.6821267,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Frankfurt am Main,Kreisfreie Stadt,Hessen,Frauenhaus,False,False,False,False
Frauenhaus Freudenstadt,2215,48.473534333796,8.420503660913,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Freudenstadt,Landkreis,Baden-Württemberg,Frauenhaus,False,False,False,False
Frauenhaus Wetterau,2059,50.332736759446,8.762147100409,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Wetteraukreis,Landkreis,Hessen,Frauenhaus,False,True,False,False
Frauenhaus Fürth,2301,49.4668322,10.9852942,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Fürth,Kreisfreie Stadt,Bayern,Frauenhaus,False,False,False,False
Frauenhaus Gelsenkirchen,2112,51.540968835085,7.111938609989,2022-12-25 08:01:00,Keine Aufnahme möglich,Keine Aufnahme möglich,Gelsenkirchen,Kreisfreie Stadt,Nordrhein-Westfalen,Frauenhaus,False,False,False,False
