shelter_name,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,bundesland,kreis
Frauen helfen Frauen e.V. Dinslaken,0.20273972602739726,0.0,0.7972602739726027,Nordrhein-Westfalen,Kreis Wesel
Frauen helfen Frauen e.V. Heidelberg,0.15342465753424658,0.0,0.8465753424657534,Baden-Württemberg,Stadtkreis Heidelberg
"Frauen und Kinderschutzhaus Baden-Baden, Landkreis Rastatt",0.1178082191780822,0.07945205479452055,0.6164383561643836,Baden-Württemberg,Stadtkreis Baden-Baden
Frauen- und Kinderhaus Offenbach,0.038356164383561646,0.0,0.9616438356164384,Hessen,Kreisfreie Stadt Offenbach am Main
Frauen- und Kinderschutzhaus,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Regensburg
Frauen- und Kinderschutzhaus,0.3315068493150685,0.0,0.6684931506849315,Nordrhein-Westfalen,Kreis Coesfeld
Frauen- und Kinderschutzhaus,0.16164383561643836,0.0,0.7506849315068493,Nordrhein-Westfalen,Kreis Höxter
Frauen- und Kinderschutzhaus Aachen,0.4273972602739726,0.0,0.5726027397260274,Nordrhein-Westfalen,Kreis Städteregion Aachen
Frauen- und Kinderschutzhaus Ballenstedt,0.6328767123287671,0.0,0.36712328767123287,Sachsen-Anhalt,Landkreis Harz
Frauen- und Kinderschutzhaus Bay. Untermain,0.010958904109589041,0.08767123287671233,0.9013698630136986,Bayern,Kreisfreie Stadt Aschaffenburg
Frauen- und Kinderschutzhaus Dorsten,0.19452054794520549,0.0,0.8054794520547945,Nordrhein-Westfalen,Kreis Recklinghausen
Frauen- und Kinderschutzhaus Freiburg,0.0,0.0,1.0,Baden-Württemberg,Stadtkreis Freiburg im Breisgau
Frauen- und Kinderschutzhaus Heckertstift,0.3424657534246575,0.0,0.5150684931506849,Baden-Württemberg,Stadtkreis Mannheim
Frauen- und Kinderschutzhaus Heilbronn,0.043835616438356165,0.0,0.9561643835616438,Baden-Württemberg,Stadtkreis Heilbronn
Frauen- und Kinderschutzhaus Krefeld,0.14520547945205478,0.0,0.8547945205479452,Nordrhein-Westfalen,Kreisfreie Stadt Krefeld
Frauen- und Kinderschutzhaus Kreis Viersen,0.11506849315068493,0.0,0.8849315068493151,Nordrhein-Westfalen,Kreis Viersen
Frauen- und Kinderschutzhaus Landkreis Leipzig,0.25205479452054796,0.0,0.7479452054794521,Sachsen,Landkreis Leipzig
Frauen- und Kinderschutzhaus Merseburg,0.0,0.0,1.0,Sachsen-Anhalt,Landkreis Saalekreis
Frauen- und Kinderschutzhaus Moers,0.052054794520547946,0.0,0.947945205479452,Nordrhein-Westfalen,Kreis Wesel
Frauen- und Kinderschutzhaus Troisdorf,0.07945205479452055,0.0,0.9205479452054794,Nordrhein-Westfalen,Kreis Rhein-Sieg-Kreis
Frauen- und Kinderschutzhaus für den Kreis Mettmann,0.09863013698630137,0.0,0.9013698630136986,Nordrhein-Westfalen,Kreis Mettmann
Frauen- und Kinderschutzhaus im Hohenlohekreis,0.2191780821917808,0.0,0.7808219178082192,Baden-Württemberg,Landkreis Hohenlohekreis
Frauen- und Kinderschutzhäuser Münster,0.3178082191780822,0.0,0.6821917808219178,Nordrhein-Westfalen,Kreisfreie Stadt Münster
Frauen-und Kinderschutzhaus Aschersleben,0.2602739726027397,0.0,0.7397260273972602,Sachsen-Anhalt,Landkreis Salzlandkreis
Frauen-und Kinderschutzhaus Schwäbisch Hall,0.10684931506849316,0.1780821917808219,0.7150684931506849,Baden-Württemberg,Landkreis Schwäbisch Hall
Frauen-und Kinderschutzhaus Tuttlingen,0.06027397260273973,0.0,0.9397260273972603,Baden-Württemberg,Landkreis Tuttlingen
Frauenhaus,0.2465753424657534,0.0,0.7534246575342466,Brandenburg,Landkreis Elbe-Elster
Frauenhaus,0.04657534246575343,0.0,0.9534246575342465,Bayern,Kreisfreie Stadt Bayreuth
Frauenhaus,0.0,0.18356164383561643,0.8164383561643835,Bayern,Kreisfreie Stadt Bamberg
Frauenhaus,0.0,0.0,1.0,Niedersachsen,Landkreis Nienburg (Weser)
Frauenhaus,0.0,0.0,0.9945205479452055,Hessen,Landkreis Groß-Gerau
Frauenhaus Ahrweiler,0.1232876712328767,0.0,0.8657534246575342,Rheinland-Pfalz,Landkreis Ahrweiler
