bundesland,monthyear,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,n_shelters,n_analyzed
Baden-Württemberg,2022-01,0.26832844574780057,0.08064516129032258,0.6510263929618768,50,23.0
Baden-Württemberg,2022-02,0.2857142857142857,0.045454545454545456,0.6688311688311688,50,23.0
Baden-Württemberg,2022-03,0.12750716332378223,0.050143266475644696,0.8223495702005731,50,23.0
Baden-Württemberg,2022-04,0.1246376811594203,0.04057971014492753,0.8347826086956521,50,23.0
Baden-Württemberg,2022-05,0.11781206171107994,0.033660589060308554,0.8485273492286115,50,23.0
Baden-Württemberg,2022-06,0.11014492753623188,0.0,0.8898550724637682,50,23.0
Baden-Württemberg,2022-07,0.16784203102961917,0.04936530324400564,0.7827926657263752,50,23.0
Baden-Württemberg,2022-08,0.12846715328467154,0.00583941605839416,0.8656934306569343,50,23.0
Baden-Württemberg,2022-09,0.1301775147928994,0.008875739644970414,0.8609467455621301,50,23.0
Baden-Württemberg,2022-10,0.08555399719495091,0.043478260869565216,0.8709677419354839,50,23.0
Baden-Württemberg,2022-11,0.09420289855072464,0.09855072463768116,0.8072463768115942,50,23.0
Baden-Württemberg,2022-12,0.03225806451612903,0.0967741935483871,0.8709677419354839,50,23.0
Baden-Württemberg,2023-01,0.03506311360448808,0.03927068723702665,0.9256661991584852,50,23.0
Baden-Württemberg,2023-02,0.08229813664596274,0.004658385093167702,0.9130434782608695,50,23.0
Baden-Württemberg,2023-03,0.07012622720897616,0.002805049088359046,0.9270687237026648,50,23.0
Baden-Württemberg,2023-04,0.04782608695652174,0.007246376811594203,0.9449275362318841,50,23.0
Baden-Württemberg,2023-05,0.07152875175315568,0.009817671809256662,0.9186535764375876,50,23.0
Baden-Württemberg,2023-06,0.2072463768115942,0.014492753623188406,0.7782608695652173,50,23.0
Bayern,2022-01,0.28136200716845877,0.05555555555555555,0.6630824372759857,42,18.0
Bayern,2022-02,0.21031746031746032,0.05555555555555555,0.7341269841269841,42,18.0
Bayern,2022-03,0.26523297491039427,0.04121863799283154,0.6935483870967742,42,18.0
Bayern,2022-04,0.3333333333333333,0.0,0.6666666666666666,42,18.0
Bayern,2022-05,0.24910394265232974,0.0,0.7508960573476703,42,18.0
Bayern,2022-06,0.16111111111111112,0.0,0.8388888888888889,42,18.0
Bayern,2022-07,0.0931899641577061,0.0,0.9068100358422939,42,18.0
Bayern,2022-08,0.07885304659498207,0.0,0.921146953405018,42,18.0
Bayern,2022-09,0.1574074074074074,0.0,0.8425925925925926,42,18.0
Bayern,2022-10,0.2007168458781362,0.0,0.7992831541218638,42,18.0
Bayern,2022-11,0.2074074074074074,0.0,0.7925925925925926,42,18.0
Bayern,2022-12,0.1039426523297491,0.0,0.8960573476702509,42,18.0
Bayern,2023-01,0.0967741935483871,0.0,0.9032258064516129,42,18.0
Bayern,2023-02,0.06349206349206349,0.013888888888888888,0.9226190476190477,42,18.0
Bayern,2023-03,0.035842293906810034,0.034050179211469536,0.9301075268817204,42,18.0
Bayern,2023-04,0.12777777777777777,0.007407407407407408,0.8648148148148148,42,18.0
Bayern,2023-05,0.11290322580645161,0.05555555555555555,0.8315412186379928,42,18.0
Bayern,2023-06,0.10185185185185185,0.07407407407407407,0.8240740740740741,42,18.0
