shelter_name,shelter_id,bundesland,bez,gen,latitude,longitude,Aufnahme möglich für Frauen mit bis zu einem Kind,Aufnahme möglich für Frauen mit mehreren Kindern,Aufnahme möglich ohne detaillierte Angabe,Keine Aufnahme möglich,Platz für Frauen ohne Kinder,keine Angabe,einrichtungsart,Gehbehinderung,Hörbehinderung/Taubheit,Sehbehinderung/Blindheit,Suchtmittelabhängigkeit
Autonomes Frauenhaus,2081,Hessen,Landkreis,Waldeck-Frankenberg,51.11062982947,9.116401666944,0.0017211703958691911,0.04561101549053356,0.0,0.9526678141135972,0.0,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus,2170,Hessen,Landkreis,Main-Kinzig-Kreis,50.25418357165,9.295718601627,0.00774526678141136,0.014629948364888123,0.0034423407917383822,0.96815834767642,0.006024096385542169,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Bielefeld,2220,Nordrhein-Westfalen,Kreisfreie Stadt,Bielefeld,52.0191005,8.531007,0.0,0.0,0.0025817555938037868,0.9931153184165232,0.004302925989672977,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Celle,2041,Niedersachsen,Landkreis,Celle,52.620867,10.0626059,0.03356282271944923,0.08175559380378658,0.0,0.8571428571428571,0.01549053356282272,0.012048192771084338,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Dortmund,2052,Nordrhein-Westfalen,Kreisfreie Stadt,Dortmund,51.5142273,7.4652789,0.0008605851979345956,0.022375215146299483,0.04388984509466437,0.9320137693631669,0.0008605851979345956,0.0,Frauenhaus,True,True,False,False
Autonomes Frauenhaus Duisburg,2199,Nordrhein-Westfalen,Kreisfreie Stadt,Duisburg,51.434999,6.759562,0.0025817555938037868,0.0,0.03442340791738382,0.959552495697074,0.0034423407917383822,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Elmshorn,2049,Schleswig-Holstein,Kreis,Pinneberg,53.7542251,9.6592636,0.0017211703958691911,0.04991394148020654,0.0,0.9380378657487092,0.010327022375215147,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Erlangen,2265,Bayern,Kreisfreie Stadt,Erlangen,49.59608204841,11.001999091098,0.0,0.0,0.0,0.0,0.0,0.9991394148020654,Frauenhaus,True,False,False,False
Autonomes Frauenhaus Frankfurt,2091,Hessen,Kreisfreie Stadt,Frankfurt am Main,50.1109221,8.6821267,0.08003442340791739,0.043029259896729774,0.04991394148020654,0.8209982788296041,0.006024096385542169,0.0,Frauenhaus,False,False,False,False
Autonomes Frauenhaus Gießen,2181,Hessen,Landkreis,Gießen,50.581233679102,8.666742445447,0.0,0.006024096385542169,0.060240963855421686,0.9148020654044751,0.0189328743545611,0.0,Frauenhaus,False,False,False,False
